,driver_x,qual_pos_x,season_mid_x,season_high_x,season_low_x,season_avg_x,seasonpassdif_x,seasongreenpass_x,seasongreenpassed_x,seasonqualitypass_x,seasonfastlap_x,seasontop15_x,seasonlapled_x,seasonDR_x,DFS_avg_x,last_year_flag_x,season_long_mid_x,season_long_high_x,season_long_low_x,season_long_avg_x,seasonlongpassdif_x,seasonlonggreenpass_x,seasonlonggreenpassed_x,seasonlongqualitypass_x,seasonlongfastlap_x,seasonlongtop15_x,seasonlonglapled_x,seasonlongDR_x,DFS_avg_season_x,car_make_Chevrolet_x,car_make_Ford_x,car_make_Toyota_x,owner_23XI Racing_x,owner_JTG-Daugherty Racing_x,owner_Jack Roush_x,owner_Joe Gibbs_x,owner_Matt Kaulig_x,owner_Richard Childress_x,owner_Richard Petty Motorsports_x,owner_Rick Hendrick_x,owner_Roger Penske_x,owner_Stewart-Haas Racing_x,owner_Trackhouse Racing_x,owner_Wood Brothers_x,group_len_0.5_x,group_len_1.0_x,group_len_1.5_x,group_len_2.0_x,group_len_2.7_x,group_len_3.0_x,driver_y,qual_pos_y,season_mid_y,season_high_y,season_low_y,season_avg_y,seasonpassdif_y,seasongreenpass_y,seasongreenpassed_y,seasonqualitypass_y,seasonfastlap_y,seasontop15_y,seasonlapled_y,seasonDR_y,DFS_avg_y,last_year_flag_y,season_long_mid_y,season_long_high_y,season_long_low_y,season_long_avg_y,seasonlongpassdif_y,seasonlonggreenpass_y,seasonlonggreenpassed_y,seasonlongqualitypass_y,seasonlongfastlap_y,seasonlongtop15_y,seasonlonglapled_y,seasonlongDR_y,DFS_avg_season_y,car_make_Chevrolet_y,car_make_Ford_y,car_make_Toyota_y,owner_23XI Racing_y,owner_JTG-Daugherty Racing_y,owner_Jack Roush_y,owner_Joe Gibbs_y,owner_Matt Kaulig_y,owner_Richard Childress_y,owner_Richard Petty Motorsports_y,owner_Rick Hendrick_y,owner_Roger Penske_y,owner_Stewart-Haas Racing_y,owner_Trackhouse Racing_y,owner_Wood Brothers_y,group_len_0.5_y,group_len_1.0_y,group_len_1.5_y,group_len_2.0_y,group_len_2.7_y,group_len_3.0_y
1,Ryan Blaney,1.0,7.5,2.0,19.0,10.0,-1.0,56.0,49.0,36.5,4.5,358.0,0.0,91.6,33.525000000000006,1.0,7.833333333333333,2.1666666666666665,19.333333333333332,9.166666666666666,4.166666666666667,54.666666666666664,50.5,40.166666666666664,12.5,359.0,33.666666666666664,97.03333333333335,45.375,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,William Byron,2.0,7.5,2.0,16.5,7.5,3.5,68.5,54.0,51.5,20.0,446.5,0.0,106.15,50.3,1.0,7.166666666666667,2.0,18.0,8.166666666666666,3.1666666666666665,64.0,60.833333333333336,49.166666666666664,15.333333333333334,389.1666666666667,1.5,101.18333333333334,45.44166666666666,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2,Ryan Blaney,1.0,7.5,2.0,19.0,10.0,-1.0,56.0,49.0,36.5,4.5,358.0,0.0,91.6,33.525000000000006,1.0,7.833333333333333,2.1666666666666665,19.333333333333332,9.166666666666666,4.166666666666667,54.666666666666664,50.5,40.166666666666664,12.5,359.0,33.666666666666664,97.03333333333335,45.375,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Kyle Busch,3.0,9.0,1.5,27.5,9.0,3.0,62.0,65.5,48.5,11.0,397.0,0.5,93.85,42.075,1.0,8.5,1.6666666666666667,28.666666666666668,11.0,3.5,68.33333333333333,64.83333333333333,41.666666666666664,9.666666666666666,349.3333333333333,7.833333333333333,93.85000000000001,36.975,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,Ryan Blaney,1.0,7.5,2.0,19.0,10.0,-1.0,56.0,49.0,36.5,4.5,358.0,0.0,91.6,33.525000000000006,1.0,7.833333333333333,2.1666666666666665,19.333333333333332,9.166666666666666,4.166666666666667,54.666666666666664,50.5,40.166666666666664,12.5,359.0,33.666666666666664,97.03333333333335,45.375,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Chase Briscoe,4.0,20.5,7.5,28.5,20.5,-6.0,68.5,74.5,9.5,0.0,30.5,0.0,59.15,26.0,1.0,21.333333333333332,7.5,27.333333333333332,20.5,-4.5,69.83333333333333,74.33333333333333,9.5,0.5,44.333333333333336,0.0,59.25000000000001,26.558333333333334,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
4,Ryan Blaney,1.0,7.5,2.0,19.0,10.0,-1.0,56.0,49.0,36.5,4.5,358.0,0.0,91.6,33.525000000000006,1.0,7.833333333333333,2.1666666666666665,19.333333333333332,9.166666666666666,4.166666666666667,54.666666666666664,50.5,40.166666666666664,12.5,359.0,33.666666666666664,97.03333333333335,45.375,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Erik Jones,5.0,18.0,8.0,26.5,19.5,2.5,75.0,75.0,9.5,0.5,69.5,0.0,68.3,43.625,1.0,17.833333333333332,7.5,26.833333333333332,18.333333333333332,-0.8333333333333334,68.16666666666667,69.0,15.666666666666666,3.1666666666666665,109.33333333333333,0.0,68.48333333333333,38.09166666666667,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
5,Ryan Blaney,1.0,7.5,2.0,19.0,10.0,-1.0,56.0,49.0,36.5,4.5,358.0,0.0,91.6,33.525000000000006,1.0,7.833333333333333,2.1666666666666665,19.333333333333332,9.166666666666666,4.166666666666667,54.666666666666664,50.5,40.166666666666664,12.5,359.0,33.666666666666664,97.03333333333335,45.375,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"Martin Truex, Jr.",6.0,3.0,1.0,17.5,4.0,-9.5,43.5,52.5,39.5,40.0,440.5,50.0,125.3,66.75,1.0,5.0,1.0,19.666666666666668,5.166666666666667,-9.0,47.333333333333336,56.333333333333336,35.0,40.833333333333336,414.3333333333333,57.833333333333336,119.06666666666668,68.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,Ryan Blaney,1.0,7.5,2.0,19.0,10.0,-1.0,56.0,49.0,36.5,4.5,358.0,0.0,91.6,33.525000000000006,1.0,7.833333333333333,2.1666666666666665,19.333333333333332,9.166666666666666,4.166666666666667,54.666666666666664,50.5,40.166666666666664,12.5,359.0,33.666666666666664,97.03333333333335,45.375,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Kevin Harvick,7.0,11.0,4.0,22.0,11.0,-6.0,70.5,83.5,40.0,6.0,380.0,0.0,86.75,31.85,1.0,11.5,3.5,22.5,10.166666666666666,-5.833333333333333,61.166666666666664,67.0,37.833333333333336,14.666666666666666,344.0,11.833333333333334,91.09999999999998,37.225,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
7,Ryan Blaney,1.0,7.5,2.0,19.0,10.0,-1.0,56.0,49.0,36.5,4.5,358.0,0.0,91.6,33.525000000000006,1.0,7.833333333333333,2.1666666666666665,19.333333333333332,9.166666666666666,4.166666666666667,54.666666666666664,50.5,40.166666666666664,12.5,359.0,33.666666666666664,97.03333333333335,45.375,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Ross Chastain,8.0,23.5,7.5,26.0,21.5,-2.0,68.0,73.5,10.5,2.0,41.0,0.0,64.5,32.4,1.0,22.333333333333332,6.666666666666667,25.833333333333332,20.333333333333332,-1.5,63.833333333333336,65.33333333333333,21.0,5.833333333333333,110.0,0.6666666666666666,67.25,25.791666666666668,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
8,Ryan Blaney,1.0,7.5,2.0,19.0,10.0,-1.0,56.0,49.0,36.5,4.5,358.0,0.0,91.6,33.525000000000006,1.0,7.833333333333333,2.1666666666666665,19.333333333333332,9.166666666666666,4.166666666666667,54.666666666666664,50.5,40.166666666666664,12.5,359.0,33.666666666666664,97.03333333333335,45.375,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Christopher Bell,9.0,12.0,1.5,24.5,9.0,5.0,79.0,74.0,58.0,10.5,402.0,0.0,93.0,35.875,1.0,14.833333333333334,1.6666666666666667,24.166666666666668,12.166666666666666,4.666666666666667,69.0,64.33333333333333,53.166666666666664,20.166666666666668,360.6666666666667,3.1666666666666665,91.31666666666666,33.86666666666667,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,Ryan Blaney,1.0,7.5,2.0,19.0,10.0,-1.0,56.0,49.0,36.5,4.5,358.0,0.0,91.6,33.525000000000006,1.0,7.833333333333333,2.1666666666666665,19.333333333333332,9.166666666666666,4.166666666666667,54.666666666666664,50.5,40.166666666666664,12.5,359.0,33.666666666666664,97.03333333333335,45.375,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Aric Almirola,10.0,14.0,4.0,26.5,13.0,-4.0,74.5,70.5,36.0,2.5,320.0,0.0,81.30000000000001,31.025,1.0,16.666666666666668,7.166666666666667,26.833333333333332,17.166666666666668,2.0,67.66666666666667,65.66666666666667,33.5,4.0,246.0,0.0,73.58333333333333,31.46666666666667,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
10,Ryan Blaney,1.0,7.5,2.0,19.0,10.0,-1.0,56.0,49.0,36.5,4.5,358.0,0.0,91.6,33.525000000000006,1.0,7.833333333333333,2.1666666666666665,19.333333333333332,9.166666666666666,4.166666666666667,54.666666666666664,50.5,40.166666666666664,12.5,359.0,33.666666666666664,97.03333333333335,45.375,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Joey Logano,11.0,8.0,1.0,21.0,6.5,-1.5,44.5,56.0,35.0,5.5,391.0,7.5,103.45,39.725,1.0,10.5,1.5,20.0,7.166666666666667,-5.166666666666667,50.5,55.666666666666664,39.333333333333336,11.0,364.3333333333333,20.833333333333332,104.76666666666667,47.324999999999996,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
