,qual_pos,season_mid,season_high,season_low,season_avg,seasonpassdif,seasongreenpass,seasongreenpassed,seasonqualitypass,seasonfastlap,seasontop15,seasonlapled,seasonDR,DFS_avg,last_year_flag,season_long_mid,season_long_high,season_long_low,season_long_avg,seasonlongpassdif,seasonlonggreenpass,seasonlonggreenpassed,seasonlongqualitypass,seasonlongfastlap,seasonlongtop15,seasonlonglapled,seasonlongDR,DFS_avg_season,DFS,DfsRank,owner_23XI Racing,owner_Archie St. Hilaire,owner_B.J. McLeod,owner_BK Racing,owner_Barney Visser,owner_Beard Motorsports,owner_Bob Jenkins,owner_Bryan Smith,owner_Carl Long,owner_Gaunt Brothers Racing,owner_Germain Racing,owner_JTG-Daugherty Racing,owner_Jack Roush,owner_Jay Robinson,owner_Joe Gibbs,owner_Leavine Family Racing,owner_Matt Kaulig,owner_Premium Motorsports,owner_Richard Childress,owner_Richard Petty Motorsports,owner_Rick Hendrick,owner_Rick Ware Racing,owner_Ricky Benton,owner_Roger Penske,owner_Spire Motorsports,owner_StarCom Racing,owner_Stewart-Haas Racing,owner_Tommy Baldwin,owner_Trackhouse Racing,owner_Wood Brothers,car_make_Chevrolet,car_make_Ford,car_make_Toyota,group_len_0.5,group_len_1.0,group_len_1.5,group_len_2.0,group_len_2.7,group_len_3.0
0,1.0,5.0,1.5,20.0,10.0,-2.0,54.5,56.5,40.5,10.5,253.0,26.0,94.95,15.724999999999998,0.0,5.0,1.5,20.0,10.0,-2.0,54.5,56.5,40.5,10.5,253.0,26.0,94.95,15.724999999999998,53.6,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1,2.0,1.5,1.0,15.0,2.5,12.0,40.0,28.0,33.0,71.0,294.0,197.5,148.05,127.825,0.0,1.5,1.0,15.0,2.5,12.0,40.0,28.0,33.0,71.0,294.0,197.5,148.05,127.825,100.65,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
2,3.0,11.5,5.0,25.0,10.5,3.0,68.5,65.5,41.5,9.0,237.0,0.0,91.65,36.55,0.0,11.5,5.0,25.0,10.5,3.0,68.5,65.5,41.5,9.0,237.0,0.0,91.65,36.55,34.4,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
3,4.0,8.0,4.5,25.0,8.5,6.0,63.0,57.0,32.0,7.5,260.5,0.5,97.25,43.5,0.0,8.0,4.5,25.0,8.5,6.0,63.0,57.0,32.0,7.5,260.5,0.5,97.25,43.5,42.95,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
4,5.0,10.0,1.5,19.5,10.5,6.5,77.5,71.0,48.5,8.5,246.0,13.0,89.85,45.075,0.0,10.0,1.5,19.5,10.5,6.5,77.5,71.0,48.5,8.5,246.0,13.0,89.85,45.075,-12.7,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
5,6.0,10.5,1.0,29.0,6.5,18.0,79.0,61.0,52.5,17.0,289.5,3.5,108.2,63.025000000000006,0.0,10.5,1.0,29.0,6.5,18.0,79.0,61.0,52.5,17.0,289.5,3.5,108.2,63.025000000000006,-26.1,34.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
6,7.0,4.5,1.0,25.5,7.0,-1.0,82.0,83.0,51.0,9.5,287.5,13.0,100.15,51.525,0.0,4.5,1.0,25.5,7.0,-1.0,82.0,83.0,51.0,9.5,287.5,13.0,100.15,51.525,39.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
7,8.0,7.0,1.0,15.0,6.0,-1.0,58.5,59.5,45.0,22.5,292.5,9.5,110.0,54.5,0.0,7.0,1.0,15.0,6.0,-1.0,58.5,59.5,45.0,22.5,292.5,9.5,110.0,54.5,112.5,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
8,9.0,25.5,7.0,34.0,22.0,12.0,87.5,75.5,15.5,6.0,54.0,0.0,61.65,24.2,0.0,25.5,7.0,34.0,22.0,12.0,87.5,75.5,15.5,6.0,54.0,0.0,61.65,24.2,-17.3,33.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
9,10.0,6.5,2.0,17.0,6.5,6.0,80.5,74.5,57.5,9.5,295.0,0.0,105.05,42.775000000000006,0.0,6.5,2.0,17.0,6.5,6.0,80.5,74.5,57.5,9.5,295.0,0.0,105.05,42.775000000000006,-15.15,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
10,11.0,2.5,1.5,22.0,4.5,1.0,59.0,58.0,41.0,20.5,292.0,19.0,113.1,56.475,0.0,2.5,1.5,22.0,4.5,1.0,59.0,58.0,41.0,20.5,292.0,19.0,113.1,56.475,-14.0,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
