,driver,track,start_pos,finish_pos,laps_complete,total_laps,race_num,year,race_status
0,A.J. Allmendinger,Bristol,43,40,413,504,5,2007,running
1,A.J. Allmendinger,Richmond,13,32,396,400,10,2007,running
2,A.J. Allmendinger,Charlotte,29,31,310,400,12,2007,running
3,A.J. Allmendinger,Pocono,28,39,104,106,14,2007,running
4,A.J. Allmendinger,Bristol,43,35,491,500,24,2007,running
5,A.J. Allmendinger,Richmond,27,23,400,400,26,2007,running
6,A.J. Allmendinger,Dover,11,43,4,400,28,2007,engine
7,A.J. Allmendinger,Martinsville,25,35,474,506,32,2007,running
8,A.J. Allmendinger,Fort Worth,5,39,151,334,34,2007,crash
9,A.J. Allmendinger,Richmond,18,39,259,410,10,2008,crash
10,A.J. Allmendinger,Charlotte,27,20,399,400,12,2008,running
11,A.J. Allmendinger,Pocono,8,12,200,200,14,2008,running
12,A.J. Allmendinger,Sonoma,36,37,109,112,16,2008,running
13,A.J. Allmendinger,Daytona,13,42,100,162,18,2008,running
14,A.J. Allmendinger,Indianapolis,26,10,160,160,20,2008,running
15,A.J. Allmendinger,Watkins Glen,37,11,90,90,22,2008,running
16,A.J. Allmendinger,Bristol,8,34,400,500,24,2008,running
17,A.J. Allmendinger,Richmond,31,43,335,400,26,2008,running
18,A.J. Allmendinger,Dover,30,16,400,400,28,2008,running
19,A.J. Allmendinger,Charlotte,38,43,52,334,31,2008,crash
20,A.J. Allmendinger,Atlanta,39,14,325,325,33,2008,running
21,A.J. Allmendinger,Phoenix,13,16,313,313,35,2008,running
22,A.J. Allmendinger,Daytona,20,3,152,152,1,2009,running
23,A.J. Allmendinger,Las Vegas,19,33,281,285,3,2009,running
24,A.J. Allmendinger,Bristol,26,16,503,503,5,2009,running
25,A.J. Allmendinger,Fort Worth,25,34,328,334,7,2009,running
26,A.J. Allmendinger,Talladega,38,35,164,188,9,2009,running
27,A.J. Allmendinger,Darlington,38,17,367,367,11,2009,running
28,A.J. Allmendinger,Dover,7,29,396,400,13,2009,running
29,A.J. Allmendinger,Michigan,6,39,144,200,15,2009,running
30,A.J. Allmendinger,Loudon,30,32,238,273,17,2009,running
31,A.J. Allmendinger,Chicago,20,13,267,267,19,2009,running
32,A.J. Allmendinger,Pocono,27,17,200,200,21,2009,running
33,A.J. Allmendinger,Michigan,13,22,200,200,23,2009,running
34,A.J. Allmendinger,Atlanta,35,20,325,325,25,2009,running
35,A.J. Allmendinger,Loudon,34,25,299,300,27,2009,running
36,A.J. Allmendinger,Kansas,15,17,267,267,29,2009,running
37,A.J. Allmendinger,Charlotte,26,23,333,334,31,2009,running
38,A.J. Allmendinger,Talladega,25,33,189,191,33,2009,running
39,A.J. Allmendinger,Phoenix,16,13,312,312,35,2009,running
40,A.J. Allmendinger,Daytona,15,32,198,208,1,2010,running
41,A.J. Allmendinger,Las Vegas,40,25,265,267,3,2010,running
42,A.J. Allmendinger,Bristol,23,17,500,500,5,2010,running
43,A.J. Allmendinger,Phoenix,1,15,378,378,7,2010,running
44,A.J. Allmendinger,Talladega,23,19,200,200,9,2010,running
45,A.J. Allmendinger,Darlington,12,37,178,367,11,2010,crash
46,A.J. Allmendinger,Charlotte,18,14,400,400,13,2010,running
47,A.J. Allmendinger,Michigan,26,11,200,200,15,2010,running
48,A.J. Allmendinger,Loudon,28,10,301,301,17,2010,running
49,A.J. Allmendinger,Chicago,13,14,267,267,19,2010,running
50,A.J. Allmendinger,Pocono,7,24,200,200,21,2010,running
51,A.J. Allmendinger,Michigan,16,17,200,200,23,2010,running
52,A.J. Allmendinger,Atlanta,16,18,325,325,25,2010,running
53,A.J. Allmendinger,Loudon,6,12,300,300,27,2010,running
54,A.J. Allmendinger,Kansas,30,10,267,267,29,2010,running
55,A.J. Allmendinger,Charlotte,3,25,333,334,31,2010,running
56,A.J. Allmendinger,Talladega,36,32,187,188,33,2010,crash
57,A.J. Allmendinger,Phoenix,2,18,312,312,35,2010,running
58,A.J. Allmendinger,Daytona,15,11,208,208,1,2011,running
59,A.J. Allmendinger,Las Vegas,7,19,267,267,3,2011,running
60,A.J. Allmendinger,Fontana,20,14,200,200,5,2011,running
61,A.J. Allmendinger,Fort Worth,15,19,332,334,7,2011,running
62,A.J. Allmendinger,Richmond,18,7,400,400,9,2011,running
63,A.J. Allmendinger,Dover,2,37,166,400,11,2011,engine
64,A.J. Allmendinger,Kansas,26,27,266,267,13,2011,running
65,A.J. Allmendinger,Michigan,26,13,200,200,15,2011,running
66,A.J. Allmendinger,Daytona,9,10,170,170,17,2011,running
67,A.J. Allmendinger,Loudon,17,12,301,301,19,2011,running
68,A.J. Allmendinger,Pocono,29,19,200,200,21,2011,running
69,A.J. Allmendinger,Michigan,29,11,203,203,23,2011,running
70,A.J. Allmendinger,Atlanta,11,10,325,325,25,2011,running
71,A.J. Allmendinger,Chicago,18,27,265,267,27,2011,running
72,A.J. Allmendinger,Dover,7,7,400,400,29,2011,running
73,A.J. Allmendinger,Charlotte,4,7,334,334,31,2011,running
74,A.J. Allmendinger,Martinsville,16,11,500,500,33,2011,running
75,A.J. Allmendinger,Phoenix,2,6,312,312,35,2011,running
76,A.J. Allmendinger,Daytona,15,34,177,202,1,2012,running
77,A.J. Allmendinger,Las Vegas,14,37,238,267,3,2012,running
78,A.J. Allmendinger,Fontana,25,15,129,129,5,2012,running
79,A.J. Allmendinger,Fort Worth,12,15,333,334,7,2012,running
80,A.J. Allmendinger,Richmond,4,16,400,400,9,2012,running
81,A.J. Allmendinger,Darlington,16,33,357,368,11,2012,running
82,A.J. Allmendinger,Dover,23,16,400,400,13,2012,running
83,A.J. Allmendinger,Michigan,20,19,199,200,15,2012,running
84,A.J. Allmendinger,Kentucky,16,9,267,267,17,2012,running
85,A.J. Allmendinger,Kansas,13,35,69,267,32,2012,crash
86,A.J. Allmendinger,Fort Worth,26,36,107,335,34,2012,crash
87,A.J. Allmendinger,Bristol,29,13,500,500,4,2013,running
88,A.J. Allmendinger,Richmond,24,14,406,406,9,2013,running
89,A.J. Allmendinger,Michigan,32,19,200,200,15,2013,running
90,A.J. Allmendinger,Daytona,33,35,149,161,18,2013,crash
91,A.J. Allmendinger,Indianapolis,14,22,160,160,20,2013,running
92,A.J. Allmendinger,Watkins Glen,4,10,90,90,22,2013,running
93,A.J. Allmendinger,Richmond,34,15,400,400,26,2013,running
94,A.J. Allmendinger,Dover,17,26,395,400,29,2013,running
95,A.J. Allmendinger,Homestead,36,36,257,267,36,2013,running
96,A.J. Allmendinger,Phoenix,25,26,310,312,2,2014,running
97,A.J. Allmendinger,Bristol,22,25,498,503,4,2014,running
98,A.J. Allmendinger,Martinsville,15,11,500,500,6,2014,running
99,A.J. Allmendinger,Darlington,18,15,374,374,8,2014,running
