,driver,midrace_pos,high_pos,low_pos,avg_pos,pass_dif,GF_Passes,GF_Passed,quality_passes,quality_pass_pct,fast_lap,top15_laps,top15_lap_pct,laps_led,LL_pct,total_laps,driver_rating,race_num,year,start,finish,laps,pos_dif,finishpoints,DFS,DfsRank
0,Austin Dillon,15,1,38,18,3,173,170,67,38.7,11,84,40.6,1,0.5,207,84.8,1,2018,14,1,207,13,45,63.2,2
1,Denny Hamlin,7,1,39,15,20,132,112,101,76.5,8,138,66.7,22,10.6,207,100.8,1,2018,2,3,207,-1,41,49.1,10
2,Chris Buescher,20,3,39,19,12,129,117,52,40.3,4,83,40.1,0,0.0,207,73.3,1,2018,21,5,207,16,39,56.8,4
3,Ryan Blaney,1,1,34,4,19,171,152,155,90.6,5,202,97.6,118,57.0,207,132.6,1,2018,3,7,207,-4,37,64.75,1
4,Michael McDowell,12,5,33,17,14,255,241,70,27.5,10,74,35.8,0,0.0,207,81.4,1,2018,22,9,207,13,35,52.5,7
5,Aric Almirola,8,1,37,13,9,219,210,130,59.4,6,145,70.1,1,0.5,206,88.9,1,2018,37,11,206,26,32,60.95,3
6,Trevor Bayne,2,2,37,15,7,273,266,180,65.9,9,96,46.4,0,0.0,206,85.2,1,2018,18,13,206,5,30,39.05,15
7,Clint Bowyer,14,3,35,20,-23,174,197,108,62.1,3,57,27.5,0,0.0,206,68.3,1,2018,10,15,206,-5,28,24.35,23
8,Alex Bowman,11,1,22,8,-7,233,240,200,85.8,4,183,88.4,13,6.3,205,96.8,1,2018,1,17,205,-16,26,15.05,25
9,Kyle Larson,24,4,38,20,59,214,155,88,41.1,6,41,19.8,0,0.0,204,59.0,1,2018,38,19,204,19,24,45.7,11
10,Jeffrey Earnhardt,13,10,36,23,-20,95,115,1,1.1,1,8,3.9,0,0.0,204,50.4,1,2018,27,21,204,6,21,27.45,21
11,William Byron,28,9,36,20,16,212,196,78,36.8,5,44,21.3,0,0.0,203,61.0,1,2018,33,23,203,10,19,31.25,19
12,Kyle Busch,35,2,39,29,-27,73,100,59,80.8,5,28,13.5,0,0.0,200,49.2,1,2018,12,25,200,-13,17,6.25,29
13,Matt DiBenedetto,21,3,39,20,-6,72,78,35,48.6,4,77,37.2,0,0.0,198,54.9,1,2018,36,27,198,9,15,25.8,22
14,"Ricky Stenhouse, Jr.",6,1,26,14,-14,201,215,172,85.6,3,109,52.7,11,5.6,197,90.1,1,2018,9,29,197,-20,13,-2.9,34
15,Kevin Harvick,26,2,31,19,-9,201,210,171,85.1,0,91,44.0,0,0.0,105,83.0,1,2018,6,31,105,-25,10,-15.0,37
16,Chase Elliott,30,1,29,22,3,247,244,198,80.2,3,77,37.2,4,4.0,101,63.7,1,2018,4,33,101,-29,8,-18.65,39
17,Danica Patrick,32,11,28,26,2,150,148,22,14.7,3,18,8.7,0,0.0,101,40.0,1,2018,28,35,101,-7,6,0.35,31
18,Daniel Suarez,37,2,20,28,5,153,148,134,87.6,2,53,25.6,0,0.0,59,60.9,1,2018,17,37,59,-20,4,-15.1,38
19,Ty Dillon,39,11,35,31,17,138,121,31,22.5,1,17,8.2,0,0.0,59,44.5,1,2018,23,39,59,-16,2,-13.55,36
20,Bubba Wallace,9,2,27,11,2,213,211,161,75.6,5,162,78.3,0,0.0,207,101.2,1,2018,7,2,207,5,42,49.25,9
21,Joey Logano,23,1,35,12,-13,146,159,133,91.1,5,155,74.9,3,1.5,207,105.2,1,2018,5,4,207,1,40,44.0,14
22,Paul Menard,4,1,23,10,7,258,251,191,74.0,11,179,86.5,1,0.5,207,91.0,1,2018,16,6,207,10,38,53.2,6
23,Ryan Newman,10,3,26,12,-13,205,218,112,54.6,8,140,67.6,0,0.0,207,90.9,1,2018,13,8,207,5,36,44.6,13
24,A.J. Allmendinger,19,1,31,17,-13,131,144,59,45.0,3,109,52.7,1,0.5,207,81.3,1,2018,20,10,207,10,34,45.6,12
25,Justin Marks,29,1,37,27,-10,52,62,5,9.6,3,9,4.4,1,0.5,206,52.3,1,2018,29,12,206,17,31,49.6,8
26,David Gilliland,17,8,39,25,-15,50,65,2,4.0,3,12,5.8,0,0.0,206,50.2,1,2018,39,14,206,25,29,55.35,5
