,qual_pos,driver,qual_time,race_num,year
0,1,   Alex Bowman,46.002   ,1,2018
1,3,   Jimmie Johnson,46.217   ,1,2018
2,5,   William Byron,46.261   ,1,2018
3,7,   Daniel Suarez,46.280   ,1,2018
4,9,"   Ricky Stenhouse, Jr.",46.381   ,1,2018
5,11,   Joey Logano,46.437   ,1,2018
6,13,   Aric Almirola,46.539   ,1,2018
7,15,   Ryan Blaney,46.577   ,1,2018
8,17,   Kurt Busch,46.678   ,1,2018
9,19,   Brad Keselowski,46.698   ,1,2018
10,21,   Ryan Newman,46.816   ,1,2018
11,23,   Jamie McMurray,46.836   ,1,2018
12,25,   Bubba Wallace,46.938   ,1,2018
13,27,   Ty Dillon,47.074   ,1,2018
14,29,   Chris Buescher,47.095   ,1,2018
15,31,   Brendan Gaughan,47.398   ,1,2018
16,33,   Matt DiBenedetto,47.675   ,1,2018
17,35,   Jeffrey Earnhardt,47.866   ,1,2018
18,37,   Mark Thompson,48.267   ,1,2018
19,39,   Gray Gaulding,   ,1,2018
20,2,   Denny Hamlin,46.132   ,1,2018
21,4,   Kyle Busch,46.224   ,1,2018
22,6,   Erik Jones,46.279   ,1,2018
23,8,   Kevin Harvick,46.281   ,1,2018
24,10,   Chase Elliott,46.413   ,1,2018
25,12,   Paul Menard,46.584   ,1,2018
26,14,   Austin Dillon,46.546   ,1,2018
27,16,   Clint Bowyer,46.658   ,1,2018
28,18,   Kasey Kahne,46.694   ,1,2018
29,20,   Trevor Bayne,46.781   ,1,2018
30,22,   Kyle Larson,46.817   ,1,2018
31,24,   Michael McDowell,46.899   ,1,2018
32,26,"   Martin Truex, Jr.",47.002   ,1,2018
33,28,   Danica Patrick,47.081   ,1,2018
34,30,   A.J. Allmendinger,47.144   ,1,2018
35,32,   Justin Marks,47.464   ,1,2018
36,34,   D.J. Kennington,47.848   ,1,2018
37,36,   David Gilliland,47.884   ,1,2018
38,38,   Corey LaJoie,48.372   ,1,2018
39,40,   David Ragan,   ,1,2018
40,1,   Kyle Busch,30.024   ,2,2018
41,3,   Kevin Harvick,30.067   ,2,2018
42,5,   Brad Keselowski,30.154   ,2,2018
43,7,   Kurt Busch,30.215   ,2,2018
44,9,   Clint Bowyer,30.414   ,2,2018
45,11,   Aric Almirola,   ,2,2018
46,13,   Jamie McMurray,30.324   ,2,2018
47,15,   Paul Menard,30.384   ,2,2018
48,17,   Michael McDowell,30.469   ,2,2018
49,19,   Bubba Wallace,30.551   ,2,2018
50,21,   A.J. Allmendinger,30.588   ,2,2018
51,23,   William Byron,30.663   ,2,2018
52,25,   Austin Dillon,30.503   ,2,2018
53,27,   Chase Elliott,30.616   ,2,2018
54,29,   David Ragan,30.780   ,2,2018
55,31,   Gray Gaulding,31.099   ,2,2018
56,33,   Jeffrey Earnhardt,31.671   ,2,2018
57,35,"   Martin Truex, Jr.",   ,2,2018
58,2,   Ryan Newman,30.062   ,2,2018
59,4,   Daniel Suarez,30.093   ,2,2018
60,6,"   Ricky Stenhouse, Jr.",30.176   ,2,2018
61,8,   Kyle Larson,30.221   ,2,2018
62,10,   Erik Jones,30.621   ,2,2018
63,12,   Denny Hamlin,   ,2,2018
64,14,   Kasey Kahne,30.377   ,2,2018
65,16,   Joey Logano,30.440   ,2,2018
66,18,   Alex Bowman,30.523   ,2,2018
67,20,   Trevor Bayne,30.578   ,2,2018
68,22,   Jimmie Johnson,30.590   ,2,2018
69,24,   Chris Buescher,   ,2,2018
70,26,   Ryan Blaney,30.537   ,2,2018
71,28,   Ty Dillon,30.750   ,2,2018
72,30,   Matt DiBenedetto,30.987   ,2,2018
73,32,   Cole Whitt,31.314   ,2,2018
74,34,   Ross Chastain,31.796   ,2,2018
75,36,   Harrison Rhodes,   ,2,2018
76,1,   Ryan Blaney,28.200   ,3,2018
77,3,   Kurt Busch,28.411   ,3,2018
78,5,   Kyle Larson,28.504   ,3,2018
79,7,"   Ricky Stenhouse, Jr.",28.549   ,3,2018
80,9,   Erik Jones,28.614   ,3,2018
81,11,   Clint Bowyer,28.652   ,3,2018
82,13,   Kyle Busch,28.596   ,3,2018
83,15,   Michael McDowell,28.631   ,3,2018
84,17,   William Byron,28.668   ,3,2018
85,19,   Denny Hamlin,28.747   ,3,2018
86,21,   Kasey Kahne,28.830   ,3,2018
87,23,   David Ragan,28.852   ,3,2018
88,25,   Ryan Newman,28.777   ,3,2018
89,27,   A.J. Allmendinger,28.890   ,3,2018
90,29,   Aric Almirola,29.013   ,3,2018
91,31,   Ty Dillon,29.140   ,3,2018
92,33,   Ross Chastain,29.441   ,3,2018
93,35,   Gray Gaulding,30.127   ,3,2018
94,37,   Joey Gase,31.101   ,3,2018
95,2,   Kevin Harvick,28.384   ,3,2018
96,4,"   Martin Truex, Jr.",28.424   ,3,2018
97,6,   Chase Elliott,28.545   ,3,2018
98,8,   Brad Keselowski,28.556   ,3,2018
99,10,   Joey Logano,28.626   ,3,2018
100,12,   Paul Menard,28.656   ,3,2018
101,14,   Jimmie Johnson,28.615   ,3,2018
102,16,   Austin Dillon,28.656   ,3,2018
103,18,   Daniel Suarez,28.744   ,3,2018
104,20,   Alex Bowman,28.809   ,3,2018
105,22,   Jamie McMurray,28.839   ,3,2018
106,24,   Trevor Bayne,28.968   ,3,2018
107,26,   Bubba Wallace,28.793   ,3,2018
