,race_num,track,length,year,date
0,01,Daytona,2.5,2018,2018-02-18
1,02,Atlanta,1.54,2018,2018-02-25
2,03,Las Vegas,1.5,2018,2018-03-04
3,04,Phoenix,1.0,2018,2018-03-11
4,05,Fontana,2.0,2018,2018-03-18
5,06,Martinsville,0.526,2018,2018-03-26
6,07,Fort Worth,1.5,2018,2018-04-08
7,08,Bristol,0.533,2018,2018-04-16
8,09,Richmond,0.75,2018,2018-04-21
9,10,Talladega,2.66,2018,2018-04-29
10,11,Dover,1.0,2018,2018-05-06
11,12,Kansas,1.5,2018,2018-05-12
12,13,Charlotte,1.5,2018,2018-05-27
13,14,Pocono,2.5,2018,2018-06-03
14,15,Michigan,2.0,2018,2018-06-10
15,16,Sonoma,1.99,2018,2018-06-24
16,17,Chicago,1.5,2018,2018-07-01
17,18,Daytona,2.5,2018,2018-07-07
18,19,Kentucky,1.5,2018,2018-07-14
19,20,Loudon,1.058,2018,2018-07-22
20,21,Pocono,2.5,2018,2018-07-29
21,22,Watkins Glen,2.45,2018,2018-08-05
22,23,Michigan,2.0,2018,2018-08-12
23,24,Bristol,0.533,2018,2018-08-18
24,25,Darlington,1.366,2018,2018-09-02
25,26,Indianapolis,2.5,2018,2018-09-10
26,27,Las Vegas,1.5,2018,2018-09-16
27,28,Richmond,0.75,2018,2018-09-22
28,29,Charlotte (Road),2.28,2018,2018-09-30
29,30,Dover,1.0,2018,2018-10-07
30,31,Talladega,2.66,2018,2018-10-14
31,32,Kansas,1.5,2018,2018-10-21
32,33,Martinsville,0.526,2018,2018-10-28
33,34,Fort Worth,1.5,2018,2018-11-04
34,35,Phoenix,1.0,2018,2018-11-11
35,36,Homestead,1.5,2018,2018-11-18
36,01,Daytona,2.5,2019,2019-02-17
37,02,Atlanta,1.54,2019,2019-02-24
38,03,Las Vegas,1.5,2019,2019-03-03
39,04,Phoenix,1.0,2019,2019-03-10
40,05,Fontana,2.0,2019,2019-03-17
41,06,Martinsville,0.526,2019,2019-03-24
42,07,Fort Worth,1.5,2019,2019-03-31
43,08,Bristol,0.533,2019,2019-04-07
44,09,Richmond,0.75,2019,2019-04-13
45,10,Talladega,2.66,2019,2019-04-28
46,11,Dover,1.0,2019,2019-05-06
