,finish_pos,qual_pos,season_mid,season_high,season_low,group_len,season_avg,seasonpassdif,seasongreenpass,seasongreenpassed,seasonqualitypass,seasonfastlap,seasontop15,seasonlapled,seasonDR,DFS_avg,season_long_mid,season_long_high,season_long_low,season_long_avg,seasonlongpassdif,seasonlonggreenpass,seasonlonggreenpassed,seasonlongqualitypass,seasonlongfastlap,seasonlongtop15,seasonlonglapled,seasonlongDR,DFS_avg_season,num_starts,DFS,DfsRank,top3,top5,top10,car_make_Chevrolet,car_make_Ford,car_make_Toyota,owner_Chip Ganassi,owner_Chris Our,owner_Fred Biagi,owner_Fury Race Cars,owner_JR Motorsports,owner_Jack Roush,owner_Jeremy Clements,owner_Jerry Brown,owner_Joe Gibbs,owner_Matt Hurley,owner_Matt Kaulig,owner_Maury Gallagher,owner_Richard Childress,owner_Roger Penske,owner_SS Green Light Racing,owner_Stewart Haas Racing
0,1.0,1.0,1.0,1.0,8.0,1.5,3.0,2.0,20.0,18.0,20.0,31.0,200.0,33.0,124.1,66.2,1.0,8.0,3.0,2.0,20.0,18.0,20.0,100.0,200.0,100.0,16.5,3.0,2.0,65.0,101.85,1.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,13.0,2.0,14.0,9.5,28.5,1.5,13.5,3.0,45.5,42.5,26.5,0.5,109.5,0.0,82.69999999999999,35.725,6.0,23.0,13.0,8.0,54.0,56.0,31.0,78.7,138.0,88.0,0.0,3.0,14.0,44.0,19.25,22.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,33.0,3.0,18.0,5.5,29.5,1.5,14.5,1.0,48.0,47.0,33.0,3.0,120.0,0.0,87.15,32.35,4.0,24.0,15.0,-7.0,63.0,53.0,37.0,58.7,66.0,44.0,0.0,3.0,13.0,76.0,-18.4,34.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,14.0,4.0,13.0,6.0,27.0,1.5,12.5,4.5,42.0,37.5,30.5,0.0,141.5,0.0,82.9,27.0,2.0,23.0,13.0,3.0,39.0,45.0,26.0,72.2,121.0,69.9,0.0,3.0,19.0,143.0,19.0,23.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,23.0,6.0,8.0,1.5,22.5,1.5,7.0,-5.5,35.5,41.0,29.5,7.0,168.5,1.5,100.85,29.025,1.0,34.0,8.0,8.0,49.0,45.0,31.0,76.9,144.0,86.0,1.5,3.0,4.0,23.0,7.4,25.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,12.0,7.0,8.0,2.0,24.0,1.5,11.0,5.0,50.0,45.0,37.0,1.0,138.0,0.0,93.3,33.45,2.5,24.5,11.5,3.0,48.0,45.0,32.0,66.35,154.0,84.85,0.0,3.0,12.0,140.0,26.0,18.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,35.0,8.0,6.5,3.0,23.0,1.5,7.0,10.5,42.5,32.0,33.0,2.5,171.0,6.0,108.0,52.125,1.0,13.0,5.0,9.0,47.0,34.0,36.0,88.7,150.0,100.0,1.3,3.0,4.0,245.0,-21.0,35.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,4.0,10.0,21.5,2.0,10.0,1.5,20.5,-7.5,17.0,24.5,17.0,6.5,105.0,2.0,69.95,1.9250000000000007,2.0,13.0,11.0,-4.0,55.0,44.0,34.0,98.2,150.0,81.5,0.0,3.0,12.0,43.0,48.7,8.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,16.0,12.0,30.0,15.0,36.5,1.5,27.5,-8.0,36.0,44.0,4.0,4.0,10.0,0.0,58.9,15.799999999999999,10.0,35.0,25.0,-7.0,47.0,55.0,8.0,16.3,20.0,12.3,0.0,3.0,18.0,271.0,23.25,20.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,10.0,14.0,16.5,9.0,26.5,1.5,15.5,12.5,49.5,37.0,21.5,0.0,98.0,0.0,78.95,31.5,5.0,21.0,14.0,2.0,50.0,47.0,33.0,67.4,113.0,60.0,0.0,3.0,14.0,45.0,38.9,10.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
