,driver,track,start_pos,finish_pos,laps_complete,total_laps,race_num,year,race_status
0,A.J. Allmendinger,Fontana,18,36,66,150,27,2007,crash
1,A.J. Allmendinger,Dover,14,21,199,200,29,2007,running
2,A.J. Allmendinger,Charlotte,28,26,179,200,31,2007,running
3,A.J. Allmendinger,Homestead,29,21,199,200,35,2007,running
4,A.J. Allmendinger,Elkhart Lake,1,1,55,55,14,2013,running
5,A.J. Allmendinger,Watkins Glen,4,2,82,82,20,2018,running
6,A.J. Allmendinger,Watkins Glen,7,37,82,82,20,2019,disqualified
7,A.J. Allmendinger,Elkhart Lake,1,24,45,45,23,2019,running
8,A.J. Allmendinger,Bristol,27,10,303,303,7,2020,running
9,A.J. Allmendinger,Homestead,38,4,177,177,10,2020,running
10,A.J. Allmendinger,Indianapolis G.P.,30,4,62,62,13,2020,running
11,A.J. Allmendinger,Daytona (Road),11,4,52,52,19,2020,running
12,A.J. Allmendinger,Talladega,36,24,112,113,28,2020,crash
13,A.J. Allmendinger,Martinsville,36,26,248,250,32,2020,running
14,A.J. Allmendinger,Daytona (Road),6,35,43,56,2,2021,running
15,A.J. Allmendinger,Las Vegas,10,1,200,200,4,2021,running
16,A.J. Allmendinger,Atlanta,3,5,163,163,6,2021,running
17,A.J. Allmendinger,Talladega,11,3,90,90,8,2021,running
18,A.J. Allmendinger,Dover,7,4,200,200,10,2021,running
19,A.J. Allmendinger,Charlotte,5,33,128,200,12,2021,brakes
20,A.J. Allmendinger,Fort Worth,1,6,171,171,14,2021,running
21,A.J. Allmendinger,Pocono,3,5,90,90,16,2021,running
22,A.J. Allmendinger,Atlanta,3,13,164,164,18,2021,running
23,A.J. Allmendinger,Watkins Glen,6,2,82,82,20,2021,running
24,A.J. Allmendinger,Michigan,2,1,139,139,22,2021,running
25,A.J. Allmendinger,Darlington,2,20,152,152,24,2021,running
26,A.J. Allmendinger,Bristol,10,1,306,306,26,2021,running
27,A.J. Allmendinger,Talladega,5,39,24,107,28,2021,crash
28,A.J. Allmendinger,Fort Worth,1,6,200,200,30,2021,running
29,A.J. Allmendinger,Martinsville,3,7,257,257,32,2021,running
30,A.J. Allmendinger,Daytona,11,2,120,120,1,2022,running
31,A.J. Allmendinger,Las Vegas,1,9,200,200,3,2022,running
32,A.J. Allmendinger,Atlanta,7,3,172,172,5,2022,running
33,A.J. Allmendinger,Richmond,9,4,250,250,7,2022,running
34,A.J. Allmendinger,Richmond,12,14,252,252,28,2007,running
35,A.J. Allmendinger,Kansas,8,25,198,200,30,2007,running
36,A.J. Allmendinger,Phoenix,16,13,203,203,34,2007,running
37,A.J. Allmendinger,Phoenix,28,12,200,201,34,2008,running
38,A.J. Allmendinger,Mid-Ohio,2,1,94,94,22,2013,running
39,A.J. Allmendinger,Daytona,2,38,100,100,16,2019,disqualified
40,A.J. Allmendinger,Mid-Ohio,6,3,75,75,21,2019,running
41,A.J. Allmendinger,Charlotte (Road),5,1,67,67,28,2019,running
42,A.J. Allmendinger,Atlanta,30,1,163,163,8,2020,running
43,A.J. Allmendinger,Talladega,34,7,113,113,11,2020,running
44,A.J. Allmendinger,Elkhart Lake,33,2,45,45,18,2020,running
45,A.J. Allmendinger,Daytona,34,15,99,100,22,2020,crash
46,A.J. Allmendinger,Charlotte (Road),22,1,68,68,29,2020,running
47,A.J. Allmendinger,Daytona,31,5,122,122,1,2021,running
48,A.J. Allmendinger,Homestead,24,14,179,179,3,2021,running
49,A.J. Allmendinger,Phoenix,4,5,200,200,5,2021,running
50,A.J. Allmendinger,Martinsville,3,13,250,250,7,2021,running
51,A.J. Allmendinger,Darlington,1,13,148,148,9,2021,running
52,A.J. Allmendinger,Austin,7,2,46,46,11,2021,running
53,A.J. Allmendinger,Mid-Ohio,12,1,78,78,13,2021,running
54,A.J. Allmendinger,Nashville,5,5,189,189,15,2021,running
55,A.J. Allmendinger,Elkhart Lake,3,4,45,45,17,2021,running
56,A.J. Allmendinger,Loudon,6,12,200,200,19,2021,running
57,A.J. Allmendinger,Indianapolis G.P.,1,2,62,62,21,2021,running
58,A.J. Allmendinger,Daytona,1,2,100,100,23,2021,running
59,A.J. Allmendinger,Richmond,8,18,250,250,25,2021,running
60,A.J. Allmendinger,Las Vegas,2,7,201,201,27,2021,running
61,A.J. Allmendinger,Charlotte (Road),14,1,68,68,29,2021,running
62,A.J. Allmendinger,Kansas,5,3,200,200,31,2021,running
63,A.J. Allmendinger,Phoenix,12,14,204,204,33,2021,running
64,A.J. Allmendinger,Fontana,1,7,165,165,2,2022,running
65,A.J. Allmendinger,Phoenix,17,7,200,200,4,2022,running
66,A.J. Allmendinger,Austin,4,1,46,46,6,2022,running
67,Aaron Quine,Mid-Ohio,31,30,42,75,21,2019,crash
68,Akinori Ogata,Phoenix,33,33,179,200,32,2018,running
69,Akinori Ogata,Martinsville,33,26,257,257,32,2021,running
70,Akinori Ogata,Richmond,40,34,247,250,25,2021,running
71,Alex Bowman,Chicago,20,17,199,200,26,2012,running
72,Alex Bowman,Dover,16,19,198,200,28,2012,running
73,Alex Bowman,Daytona,8,3,120,120,1,2013,running
74,Alex Bowman,Las Vegas,18,8,200,200,3,2013,running
75,Alex Bowman,Fontana,6,12,150,150,5,2013,running
76,Alex Bowman,Richmond,12,27,246,250,7,2013,running
77,Alex Bowman,Darlington,13,17,147,147,9,2013,running
78,Alex Bowman,Dover,4,17,200,200,11,2013,running
79,Alex Bowman,Michigan,5,14,124,125,13,2013,running
80,Alex Bowman,Kentucky,10,10,170,170,15,2013,running
81,Alex Bowman,Loudon,21,10,213,213,17,2013,running
82,Alex Bowman,Indianapolis,38,15,100,100,19,2013,running
83,Alex Bowman,Watkins Glen,19,13,82,82,21,2013,running
84,Alex Bowman,Bristol,14,33,234,250,23,2013,running
85,Alex Bowman,Richmond,6,15,250,250,25,2013,running
86,Alex Bowman,Kentucky,20,5,200,200,27,2013,running
87,Alex Bowman,Kansas,11,11,200,200,29,2013,running
88,Alex Bowman,Fort Worth,1,18,199,200,31,2013,running
89,Alex Bowman,Dover,20,19,197,200,28,2014,running
90,Alex Bowman,Phoenix,5,17,205,206,32,2014,running
91,Alex Bowman,Indianapolis,15,17,100,100,18,2015,running
92,Alex Bowman,Pocono,10,10,53,53,12,2016,running
93,Alex Bowman,Iowa,9,5,250,250,14,2016,running
94,Alex Bowman,Richmond,2,9,250,250,25,2016,running
95,Alex Bowman,Phoenix,7,38,54,200,32,2016,crash
96,Alex Bowman,Charlotte,4,1,200,200,29,2017,running
97,Alex Bowman,Michigan,10,21,91,91,13,2018,running
98,Alex Bowman,Kentucky,9,25,194,200,27,2012,running
99,Alex Bowman,Phoenix,22,15,204,204,32,2012,running
100,Alex Bowman,Phoenix,18,31,142,200,2,2013,running
101,Alex Bowman,Bristol,15,14,300,300,4,2013,running
102,Alex Bowman,Fort Worth,1,14,200,200,6,2013,running
103,Alex Bowman,Talladega,14,13,110,110,8,2013,running
104,Alex Bowman,Charlotte,8,20,200,200,10,2013,running
105,Alex Bowman,Iowa,15,22,244,250,12,2013,running
106,Alex Bowman,Elkhart Lake,15,24,55,55,14,2013,running
107,Alex Bowman,Daytona,12,20,101,101,16,2013,running
108,Alex Bowman,Chicago,11,31,172,200,18,2013,running
109,Alex Bowman,Iowa,3,7,250,250,20,2013,running
110,Alex Bowman,Mid-Ohio,17,11,94,94,22,2013,running
111,Alex Bowman,Atlanta,18,34,32,195,24,2013,engine
112,Alex Bowman,Chicago,8,11,200,200,26,2013,running
113,Alex Bowman,Dover,4,18,197,200,28,2013,running
114,Alex Bowman,Charlotte,6,18,200,200,30,2013,running
115,Alex Bowman,Phoenix,15,11,200,200,32,2013,running
116,Alex Bowman,Charlotte,7,12,200,200,30,2014,running
117,Alex Bowman,Michigan,15,14,125,125,13,2015,running
118,Alex Bowman,Dover,5,3,120,120,10,2016,running
119,Alex Bowman,Michigan,1,7,125,125,13,2016,running
120,Alex Bowman,Loudon,5,8,200,200,17,2016,running
121,Alex Bowman,Dover,4,5,200,200,28,2016,running
122,Alex Bowman,Homestead,8,14,200,200,33,2016,running
123,Alex Bowman,Phoenix,5,8,200,200,32,2017,running
124,Alex Labbe,Phoenix,33,23,197,200,32,2016,running
125,Alex Labbe,Charlotte,29,33,192,200,10,2017,running
126,Alex Labbe,Atlanta,33,18,161,163,2,2018,running
127,Alex Labbe,Phoenix,22,22,198,200,4,2018,running
128,Alex Labbe,Fort Worth,22,32,104,200,6,2018,crash
129,Alex Labbe,Richmond,19,16,249,250,8,2018,running
130,Alex Labbe,Dover,15,21,200,200,10,2018,running
131,Alex Labbe,Pocono,23,18,100,100,12,2018,running
132,Alex Labbe,Iowa,18,23,247,250,14,2018,running
133,Alex Labbe,Daytona,21,15,105,105,16,2018,running
134,Alex Labbe,Loudon,21,23,198,200,18,2018,running
135,Alex Labbe,Watkins Glen,21,19,82,82,20,2018,running
136,Alex Labbe,Bristol,20,23,301,310,22,2018,running
137,Alex Labbe,Darlington,18,19,146,147,24,2018,running
138,Alex Labbe,Las Vegas,15,16,200,200,26,2018,running
139,Alex Labbe,Charlotte (Road),5,13,55,55,28,2018,running
140,Alex Labbe,Kansas,27,12,197,200,30,2018,running
141,Alex Labbe,Phoenix,17,20,199,200,32,2018,running
142,Alex Labbe,Atlanta,23,19,162,163,2,2019,running
143,Alex Labbe,Talladega,24,25,111,113,9,2019,running
144,Alex Labbe,Watkins Glen,21,16,82,82,20,2019,running
145,Alex Labbe,Las Vegas,37,17,198,200,26,2019,running
146,Alex Labbe,Kansas,17,15,199,200,30,2019,running
147,Alex Labbe,Daytona,19,10,120,120,1,2020,running
148,Alex Labbe,Fontana,17,13,150,150,3,2020,running
149,Alex Labbe,Darlington,16,17,147,147,5,2020,running
150,Alex Labbe,Bristol,32,33,41,303,7,2020,overheating
151,Alex Labbe,Homestead,36,25,165,167,9,2020,running
152,Alex Labbe,Talladega,27,9,113,113,11,2020,running
153,Alex Labbe,Indianapolis G.P.,22,8,62,62,13,2020,running
154,Alex Labbe,Kentucky,24,24,196,200,15,2020,running
155,Alex Labbe,Kansas,19,21,174,175,17,2020,running
156,Alex Labbe,Daytona (Road),16,27,50,52,19,2020,running
157,Alex Labbe,Dover,18,17,198,200,21,2020,running
158,Alex Labbe,Darlington,24,16,147,147,23,2020,running
159,Alex Labbe,Richmond,20,12,250,250,25,2020,running
160,Alex Labbe,Las Vegas,16,32,179,200,27,2020,electrical
161,Alex Labbe,Charlotte (Road),16,4,68,68,29,2020,running
162,Alex Labbe,Fort Worth,20,11,200,200,31,2020,running
163,Alex Labbe,Phoenix,21,21,203,206,33,2020,running
164,Alex Labbe,Daytona (Road),36,22,56,56,2,2021,running
165,Alex Labbe,Las Vegas,17,35,181,200,4,2021,crash
166,Alex Labbe,Atlanta,36,17,163,163,6,2021,running
167,Alex Labbe,Talladega,30,21,90,90,8,2021,running
168,Alex Labbe,Dover,18,19,198,200,10,2021,running
169,Alex Labbe,Charlotte,33,14,200,200,12,2021,running
170,Alex Labbe,Fort Worth,10,18,171,171,14,2021,running
171,Alex Labbe,Pocono,16,16,90,90,16,2021,running
172,Alex Labbe,Atlanta,17,15,164,164,18,2021,running
173,Alex Labbe,Watkins Glen,26,39,28,82,20,2021,rear gear
174,Alex Labbe,Michigan,13,31,123,139,22,2021,running
175,Alex Labbe,Darlington,22,10,152,152,24,2021,running
176,Alex Labbe,Bristol,14,19,305,306,26,2021,running
177,Alex Labbe,Talladega,32,21,107,107,28,2021,running
178,Alex Labbe,Fort Worth,16,24,199,200,30,2021,running
179,Alex Labbe,Martinsville,25,8,257,257,32,2021,running
180,Alex Labbe,Fontana,19,24,165,165,2,2022,running
181,Alex Labbe,Phoenix,23,19,199,200,4,2022,running
182,Alex Labbe,Austin,5,36,41,46,6,2022,rear gear
183,Alex Labbe,Fort Worth,33,28,194,200,6,2017,running
184,Alex Labbe,Daytona,22,24,142,143,1,2018,running
185,Alex Labbe,Las Vegas,24,17,200,200,3,2018,running
186,Alex Labbe,Fontana,21,19,150,150,5,2018,running
187,Alex Labbe,Bristol,16,11,300,300,7,2018,running
188,Alex Labbe,Talladega,21,24,114,115,9,2018,running
