,driver,midrace_pos,high_pos,low_pos,avg_pos,pass_dif,GF_Passes,GF_Passed,quality_passes,quality_pass_pct,fast_lap,top15_laps,top15_lap_pct,laps_led,LL_pct,total_laps,driver_rating,race_num,year,start,finish,laps,pos_dif,finishpoints,DFS,DfsRank
0,Tyler Reddick,12,1,39,10,43,294,251,226,76.9,6,123,86.0,11,7.7,143,96.9,1,2018,9,1,143,8,45,58.45,3
1,Ryan Reed,6,1,36,13,28,277,249,214,77.3,2,100,69.9,3,2.1,143,87.1,1,2018,15,3,143,12,41,54.65,4
2,Garrett Smithley,26,1,36,22,7,80,73,17,21.3,2,33,23.1,2,1.4,143,70.4,1,2018,25,5,143,20,39,60.4,2
3,Ryan Truex,14,1,33,11,20,267,247,210,78.7,3,115,80.4,3,2.1,143,84.2,1,2018,6,7,143,-1,37,38.1,16
4,Ross Chastain,19,1,29,18,-25,98,123,29,29.6,1,46,32.2,0,0.0,143,73.2,1,2018,23,9,143,14,35,49.45,7
5,Jeff Green,18,8,38,27,36,162,126,74,45.7,4,29,20.3,0,0.0,143,59.5,1,2018,31,11,143,20,32,53.8,5
6,Caesar Bacarella,34,6,36,27,-27,61,88,15,24.6,2,18,12.6,0,0.0,143,52.4,1,2018,30,13,143,17,30,47.9,9
7,Stephen Leicht,36,11,39,29,-22,44,66,7,15.9,0,5,3.5,0,0.0,143,41.5,1,2018,35,15,143,20,28,48.0,8
8,David Starr,28,12,36,26,-30,87,117,8,9.2,0,7,4.9,0,0.0,143,47.0,1,2018,32,17,143,15,26,41.0,14
9,Matt Tifft,29,7,39,25,10,164,154,27,16.5,5,13,9.1,0,0.0,143,65.5,1,2018,39,19,143,20,24,46.25,11
10,Ryan Sieg,30,6,37,30,-6,41,47,0,0.0,0,6,4.2,0,0.0,143,51.0,1,2018,21,21,143,0,21,21.0,24
11,Joe Nemechek,21,5,32,18,2,138,136,73,52.9,2,46,32.2,0,0.0,143,71.1,1,2018,16,23,143,-7,19,12.9,27
12,Spencer Boyd,35,16,39,29,-22,79,101,0,0.0,1,0,0.0,0,0.0,142,47.2,1,2018,34,25,142,9,17,26.45,22
13,Dylan Lupton,22,6,31,19,-35,131,166,24,18.3,5,26,18.2,0,0.0,137,75.9,1,2018,20,27,137,-7,15,10.25,29
14,Kyle Larson,2,1,22,5,3,154,151,147,95.5,1,124,86.7,61,45.5,134,111.3,1,2018,2,29,134,-27,13,1.7,30
15,Justin Allgaier,7,1,25,10,-1,239,240,229,95.8,1,119,83.2,0,0.0,124,90.8,1,2018,5,31,124,-26,10,-15.55,36
16,Joey Gase,16,10,35,23,39,142,103,25,17.6,8,28,19.6,0,0.0,122,65.8,1,2018,19,33,122,-14,8,-2.4,32
17,Aric Almirola,3,1,24,12,-9,236,245,220,93.2,3,110,76.9,4,3.3,121,84.7,1,2018,12,35,121,-23,6,-14.65,35
18,Michael Annett,10,3,36,18,10,210,200,178,84.8,0,92,64.3,0,0.0,106,80.3,1,2018,7,37,106,-30,4,-26.0,39
19,Christopher Bell,39,9,23,36,1,32,31,11,34.4,1,5,3.5,0,0.0,11,31.2,1,2018,13,39,11,-26,2,-23.55,38
20,Elliott Sadler,4,1,33,9,-14,262,276,219,83.6,2,121,84.6,2,1.4,143,103.8,1,2018,11,2,143,9,42,52.4,6
21,Kaz Grala,13,4,38,22,-9,96,105,25,26.0,3,34,23.8,0,0.0,143,68.7,1,2018,27,4,143,23,40,64.35,1
22,Spencer Gallagher,11,2,31,10,13,282,269,229,81.2,1,119,83.2,0,0.0,143,93.4,1,2018,4,6,143,-2,38,36.45,17
23,Daniel Suarez,5,1,26,7,26,290,264,266,91.7,1,135,94.4,5,3.5,143,97.9,1,2018,17,8,143,9,36,46.7,10
24,Brandon Jones,32,7,38,21,72,206,134,73,35.4,5,41,28.7,0,0.0,143,79.1,1,2018,18,10,143,8,34,44.25,12
25,Chase Elliott,8,1,34,10,24,207,183,161,77.8,1,116,81.1,17,11.9,143,95.6,1,2018,8,12,143,-4,31,31.7,19
26,Cole Custer,15,6,36,17,-21,226,247,174,77.0,2,84,58.7,0,0.0,143,80.9,1,2018,14,14,143,0,29,29.9,20
27,Jeremy Clements,33,10,35,25,-32,80,112,13,16.3,1,20,14.0,0,0.0,143,52.3,1,2018,24,16,143,8,27,35.45,18
28,J.J. Yeley,23,9,40,28,-76,38,114,5,13.2,0,20,14.0,0,0.0,143,40.0,1,2018,37,18,143,19,25,44.0,13
29,Vinnie Miller,31,7,37,27,-10,65,75,0,0.0,0,5,3.5,0,0.0,143,49.3,1,2018,26,20,143,6,23,29.0,21
30,Josh Williams,17,5,40,21,2,179,177,61,34.1,1,32,22.4,0,0.0,143,65.4,1,2018,40,22,143,18,20,38.45,15
31,Alex Labbe,20,7,29,20,-38,85,123,15,17.7,0,27,18.9,0,0.0,142,64.6,1,2018,22,24,142,-2,18,16.0,26
32,Daniel Hemric,9,1,37,17,8,228,220,170,74.6,5,84,58.7,7,5.0,140,80.9,1,2018,1,26,140,-25,16,-5.0,34
33,Chad Finchum,38,25,38,36,-13,13,26,0,0.0,1,0,0.0,0,0.0,136,33.0,1,2018,36,28,136,8,14,22.45,23
34,Ryan Ellis,24,9,36,26,-9,81,90,10,12.4,1,14,9.8,0,0.0,133,55.3,1,2018,29,30,133,-1,12,11.45,28
35,Austin Dillon,27,3,38,16,18,202,184,129,63.9,7,78,54.6,0,0.0,122,74.0,1,2018,38,32,122,6,9,18.15,25
36,Joey Logano,1,1,24,8,23,168,145,143,85.1,2,115,80.4,28,23.1,121,104.5,1,2018,3,34,121,-31,7,-16.1,37
37,Brandon Brown,37,5,37,23,17,162,145,88,54.3,1,46,32.2,0,0.0,121,71.7,1,2018,28,36,121,-8,5,-2.55,33
38,Gray Gaulding,25,16,40,31,-7,50,57,0,0.0,2,0,0.0,0,0.0,82,54.4,1,2018,33,38,82,-5,3,-1.1,31
39,Austin Cindric,40,6,17,37,-1,44,45,39,88.6,0,9,6.3,0,0.0,10,27.7,1,2018,10,40,10,-30,1,-29.0,40
40,Kevin Harvick,1,1,34,2,10,12,2,9,75.0,60,162,99.4,141,86.5,163,150.0,2,2018,5,1,163,4,45,111.25,1
41,Christopher Bell,2,1,34,3,5,18,13,12,66.7,29,162,99.4,12,7.4,163,123.4,2,2018,1,3,163,-2,41,55.05,2
42,Elliott Sadler,4,4,34,5,8,33,25,22,66.7,5,161,98.8,0,0.0,163,111.3,2,2018,10,5,163,5,39,46.25,5
43,Austin Cindric,7,2,23,10,15,46,31,29,63.0,0,153,93.9,0,0.0,163,95.2,2,2018,9,7,163,2,37,39.0,9
44,Ryan Truex,11,6,34,10,8,37,29,31,83.8,1,161,98.8,0,0.0,162,90.1,2,2018,15,9,162,6,35,41.45,6
45,Daniel Hemric,9,4,34,10,0,36,36,27,75.0,0,163,100.0,0,0.0,162,86.7,2,2018,6,11,162,-5,32,27.0,17
46,Ty Dillon,8,2,24,11,5,50,45,37,74.0,1,138,84.7,0,0.0,162,93.3,2,2018,16,13,162,3,30,33.45,13
47,Chase Briscoe,14,6,26,16,-11,39,50,14,35.9,0,99,60.7,0,0.0,162,76.7,2,2018,18,15,162,3,28,31.0,15
48,Brandon Jones,30,7,36,19,-20,33,53,8,24.2,0,52,31.9,0,0.0,161,78.2,2,2018,7,17,161,-10,26,16.0,26
49,Tyler Reddick,5,2,34,8,-5,40,45,28,70.0,9,137,84.1,0,0.0,161,99.8,2,2018,11,19,161,-8,24,20.05,22
50,Dylan Lupton,21,14,34,20,5,48,43,4,8.3,0,6,3.7,0,0.0,160,63.8,2,2018,28,21,160,7,21,28.0,16
51,Kaz Grala,18,12,36,23,13,45,32,6,13.3,0,13,8.0,0,0.0,159,68.5,2,2018,20,23,159,-3,19,16.0,26
52,Garrett Smithley,27,16,35,25,4,52,48,0,0.0,0,0,0.0,0,0.0,159,55.7,2,2018,32,25,159,7,17,24.0,19
53,Jeremy Clements,36,12,37,29,-12,45,57,8,17.8,6,20,12.3,0,0.0,158,60.0,2,2018,22,27,158,-5,15,12.7,28
54,Spencer Boyd,31,20,37,30,-22,22,44,0,0.0,0,0,0.0,0,0.0,158,38.5,2,2018,35,29,158,6,13,19.0,24
55,Vinnie Miller,26,17,39,29,8,45,37,0,0.0,0,0,0.0,0,0.0,158,41.3,2,2018,39,31,158,8,10,18.0,25
56,Tommy Joe Martins,33,21,36,31,5,33,28,0,0.0,0,0,0.0,0,0.0,156,48.2,2,2018,26,33,156,-7,8,1.0,32
57,Chad Finchum,37,31,38,36,-1,18,19,0,0.0,0,0,0.0,0,0.0,155,31.8,2,2018,34,35,155,-1,6,5.0,30
58,J.J. Yeley,24,5,36,29,7,47,40,0,0.0,0,2,1.2,0,0.0,92,49.7,2,2018,19,37,92,-18,4,-14.0,35
59,Cole Custer,39,3,7,36,-4,1,5,1,100.0,0,10,6.1,0,0.0,10,32.7,2,2018,4,39,10,-35,2,-33.0,36
60,Joey Logano,3,1,22,3,12,22,10,17,77.3,22,159,97.6,10,6.1,163,120.6,2,2018,2,2,163,0,42,54.4,3
61,John Hunter Nemechek,13,3,36,10,-3,55,58,27,49.1,2,135,82.8,0,0.0,163,106.6,2,2018,3,4,163,-1,40,39.9,8
62,Justin Allgaier,6,5,34,9,13,47,34,30,63.8,1,142,87.1,0,0.0,163,100.8,2,2018,17,6,163,11,38,49.45,4
63,Kyle Benjamin,12,4,34,9,0,33,33,24,72.7,1,162,99.4,0,0.0,162,95.1,2,2018,8,8,162,0,36,36.45,10
64,Ryan Reed,10,2,34,10,6,36,30,26,72.2,0,162,99.4,0,0.0,162,89.8,2,2018,12,10,162,2,34,36.0,11
65,Matt Tifft,16,10,34,14,1,41,40,25,61.0,0,116,71.2,0,0.0,162,80.5,2,2018,14,12,162,2,31,33.0,14
66,Spencer Gallagher,15,10,34,16,23,50,27,10,20.0,0,84,51.5,0,0.0,162,76.2,2,2018,13,14,162,-1,29,28.0,16
67,Ross Chastain,17,3,31,17,0,60,60,15,25.0,0,28,17.2,0,0.0,162,71.8,2,2018,24,16,162,8,27,35.0,12
68,Alex Labbe,19,12,35,20,2,36,34,3,8.3,0,5,3.1,0,0.0,161,63.8,2,2018,33,18,161,15,25,40.0,7
69,Michael Annett,20,14,36,21,-22,40,62,4,10.0,2,5,3.1,0,0.0,161,66.4,2,2018,21,20,161,1,23,24.9,18
70,Ryan Sieg,22,13,35,24,3,36,33,0,0.0,0,0,0.0,0,0.0,160,55.2,2,2018,25,22,160,3,20,23.0,20
71,Josh Williams,23,7,37,26,3,56,53,0,0.0,0,3,1.8,0,0.0,159,48.8,2,2018,37,24,159,13,18,31.0,15
72,Joey Gase,25,3,36,26,-16,54,70,1,1.9,0,3,1.8,0,0.0,159,49.2,2,2018,30,26,159,4,16,20.0,23
73,David Starr,28,16,36,28,-1,38,39,0,0.0,0,1,0.6,0,0.0,158,45.5,2,2018,36,28,158,8,14,22.0,21
74,B.J. McLeod,32,18,34,29,-18,25,43,0,0.0,0,1,0.6,0,0.0,158,44.3,2,2018,23,30,158,-7,12,5.0,30
75,Stephen Leicht,34,19,39,33,5,31,26,0,0.0,0,0,0.0,0,0.0,157,33.3,2,2018,38,32,157,6,9,15.0,27
76,Timmy Hill,35,20,36,33,-19,22,41,0,0.0,0,0,0.0,0,0.0,156,35.3,2,2018,29,34,156,-5,7,2.0,31
77,Matt Mills,29,17,40,32,-5,19,24,0,0.0,0,0,0.0,0,0.0,154,31.5,2,2018,40,36,154,4,5,9.0,29
78,Morgan Shepherd,38,31,40,37,0,3,3,0,0.0,0,0,0.0,0,0.0,49,25.8,2,2018,31,38,49,-7,3,-4.0,33
79,Jeff Green,40,27,40,39,-1,3,4,0,0.0,0,0,0.0,0,0.0,5,24.3,2,2018,27,40,5,-13,1,-12.0,34
80,Kyle Larson,2,1,8,2,9,17,8,17,100.0,65,200,100.0,142,71.0,200,150.0,3,2018,2,1,200,1,45,110.75,1
81,Justin Allgaier,7,1,12,5,8,38,30,36,94.7,4,200,100.0,12,6.0,200,115.2,3,2018,12,3,200,9,41,54.8,3
82,Elliott Sadler,5,3,16,6,-3,24,27,22,91.7,0,199,99.5,0,0.0,200,103.8,3,2018,6,5,200,1,39,40.0,6
83,Brandon Jones,6,4,23,10,22,63,41,58,92.1,6,188,94.0,0,0.0,200,96.1,3,2018,16,7,200,9,37,48.7,5
84,Cole Custer,4,1,13,5,-11,33,44,33,100.0,13,200,100.0,4,2.0,200,107.2,3,2018,4,9,200,-5,35,36.85,8
85,Matt Tifft,10,9,23,13,0,47,47,38,80.9,0,186,93.0,0,0.0,200,86.3,3,2018,9,11,200,-2,32,30.0,14
86,Michael Annett,13,9,22,14,-1,44,45,27,61.4,1,141,70.5,0,0.0,200,81.8,3,2018,19,13,200,6,30,36.45,9
87,Ryan Truex,17,13,23,17,-2,54,56,22,40.7,0,58,29.0,0,0.0,200,75.3,3,2018,17,15,200,2,28,30.0,14
88,Alex Labbe,20,12,24,20,-1,18,19,0,0.0,0,3,1.5,0,0.0,200,67.3,3,2018,24,17,200,7,26,33.0,12
89,Ryan Reed,16,10,20,15,3,48,45,35,72.9,0,121,60.5,0,0.0,199,76.0,3,2018,13,19,199,-6,24,18.0,23
90,Josh Williams,28,21,29,25,7,18,11,0,0.0,0,0,0.0,0,0.0,197,58.9,3,2018,29,21,197,8,21,29.0,15
91,Garrett Smithley,22,15,26,23,-3,5,8,0,0.0,0,1,0.5,0,0.0,196,59.7,3,2018,26,23,196,3,19,22.0,20
92,Tommy Joe Martins,26,24,33,27,6,26,20,0,0.0,0,0,0.0,0,0.0,195,49.8,3,2018,33,25,195,8,17,25.0,18
93,Matt Mills,30,26,39,29,-7,20,27,0,0.0,0,0,0.0,0,0.0,194,45.7,3,2018,27,27,194,0,15,15.0,25
