,qual_pos,driver,qual_time,race_num,year
0,1,   Daniel Hemric,47.541   ,1,2018
1,3,   Joey Logano,47.808   ,1,2018
2,5,   Justin Allgaier,47.843   ,1,2018
3,7,   Michael Annett,47.857   ,1,2018
4,9,   Tyler Reddick,48.143   ,1,2018
5,11,   Elliott Sadler,   ,1,2018
6,13,   Christopher Bell,48.294   ,1,2018
7,15,   Ryan Reed,48.410   ,1,2018
8,17,   Daniel Suarez,48.457   ,1,2018
9,19,   Joey Gase,48.594   ,1,2018
10,21,   Ryan Sieg,48.723   ,1,2018
11,23,   Ross Chastain,48.799   ,1,2018
12,25,   Garrett Smithley,48.861   ,1,2018
13,27,   Kaz Grala,49.081   ,1,2018
14,29,   Ryan Ellis,49.116   ,1,2018
15,31,   Jeff Green,49.227   ,1,2018
16,33,   Gray Gaulding,49.453   ,1,2018
17,35,   Stephen Leicht,50.192   ,1,2018
18,37,   J.J. Yeley,51.660   ,1,2018
19,39,   Matt Tifft,   ,1,2018
20,41,"   Ray Black, Jr.",49.467   ,1,2018
21,43,   Timmy Hill,49.511   ,1,2018
22,45,   Josh Bilicki,50.681   ,1,2018
23,2,   Kyle Larson,47.624   ,1,2018
24,4,   Spencer Gallagher,47.839   ,1,2018
25,6,   Ryan Truex,47.846   ,1,2018
26,8,   Chase Elliott,48.117   ,1,2018
27,10,   Austin Cindric,48.188   ,1,2018
28,12,   Aric Almirola,48.242   ,1,2018
29,14,   Cole Custer,48.328   ,1,2018
30,16,   Joe Nemechek,48.450   ,1,2018
31,18,   Brandon Jones,48.459   ,1,2018
32,20,   Dylan Lupton,48.710   ,1,2018
33,22,   Alex Labbe,48.738   ,1,2018
34,24,   Jeremy Clements,48.826   ,1,2018
35,26,   Vinnie Miller,49.016   ,1,2018
36,28,   Brandon Brown,49.108   ,1,2018
37,30,   Caesar Bacarella,49.224   ,1,2018
38,32,   David Starr,49.327   ,1,2018
39,34,   Spencer Boyd,49.505   ,1,2018
40,36,   Chad Finchum,51.453   ,1,2018
41,38,   Austin Dillon,   ,1,2018
42,40,   Josh Williams,   ,1,2018
43,42,   Chris Cockrum,49.475   ,1,2018
44,44,   Morgan Shepherd,49.805   ,1,2018
45,46,   Mike Harmon,   ,1,2018
46,1,   Christopher Bell,30.600   ,2,2018
47,3,   John Hunter Nemechek,30.669   ,2,2018
48,5,   Kevin Harvick,30.691   ,2,2018
49,7,   Brandon Jones,30.842   ,2,2018
50,9,   Austin Cindric,30.852   ,2,2018
51,11,   Tyler Reddick,30.926   ,2,2018
52,13,   Spencer Gallagher,30.874   ,2,2018
53,15,   Ryan Truex,30.925   ,2,2018
54,17,   Justin Allgaier,30.978   ,2,2018
55,19,   J.J. Yeley,31.024   ,2,2018
56,21,   Michael Annett,31.198   ,2,2018
57,23,   B.J. McLeod,32.283   ,2,2018
58,25,   Ryan Sieg,31.568   ,2,2018
59,27,   Jeff Green,31.701   ,2,2018
60,29,   Timmy Hill,31.716   ,2,2018
61,31,   Morgan Shepherd,31.832   ,2,2018
62,33,   Alex Labbe,31.936   ,2,2018
63,35,   Spencer Boyd,32.141   ,2,2018
64,37,   Josh Williams,32.424   ,2,2018
65,39,   Vinnie Miller,32.999   ,2,2018
66,41,   Josh Bilicki,32.474   ,2,2018
67,2,   Joey Logano,30.630   ,2,2018
68,4,   Cole Custer,30.690   ,2,2018
69,6,   Daniel Hemric,30.725   ,2,2018
70,8,   Kyle Benjamin,30.851   ,2,2018
71,10,   Elliott Sadler,30.856   ,2,2018
72,12,   Ryan Reed,30.958   ,2,2018
73,14,   Matt Tifft,30.887   ,2,2018
74,16,   Ty Dillon,30.940   ,2,2018
75,18,   Chase Briscoe,31.024   ,2,2018
76,20,   Kaz Grala,31.129   ,2,2018
77,22,   Jeremy Clements,31.422   ,2,2018
78,24,   Ross Chastain,   ,2,2018
79,26,   Tommy Joe Martins,31.656   ,2,2018
80,28,   Dylan Lupton,31.713   ,2,2018
81,30,   Joey Gase,31.756   ,2,2018
82,32,   Garrett Smithley,31.869   ,2,2018
83,34,   Chad Finchum,32.033   ,2,2018
84,36,   David Starr,32.266   ,2,2018
85,38,   Stephen Leicht,32.901   ,2,2018
86,40,   Matt Mills,33.016   ,2,2018
87,42,   Mike Harmon,32.608   ,2,2018
88,1,   Christopher Bell,29.398   ,3,2018
89,3,   Daniel Hemric,29.497   ,3,2018
90,5,   Kyle Busch,29.561   ,3,2018
91,7,   Tyler Reddick,29.656   ,3,2018
92,9,   Matt Tifft,29.743   ,3,2018
93,11,   Spencer Gallagher,29.918   ,3,2018
94,13,   Ryan Reed,29.986   ,3,2018
95,15,   Austin Cindric,29.987   ,3,2018
96,17,   Ryan Truex,30.105   ,3,2018
97,19,   Michael Annett,30.155   ,3,2018
98,21,   Ryan Sieg,30.305   ,3,2018
99,23,   Joey Gase,30.386   ,3,2018
100,25,   Timmy Hill,30.778   ,3,2018
101,27,   Matt Mills,31.085   ,3,2018
102,29,   Josh Williams,31.223   ,3,2018
103,31,   Spencer Boyd,31.285   ,3,2018
104,33,   Tommy Joe Martins,31.323   ,3,2018
105,35,   David Starr,31.787   ,3,2018
106,37,   Vinnie Miller,31.993   ,3,2018
107,39,   Josh Bilicki,32.448   ,3,2018
108,2,   Kyle Larson,29.442   ,3,2018
109,4,   Cole Custer,29.538   ,3,2018
110,6,   Elliott Sadler,29.640   ,3,2018
111,8,   Ryan Blaney,29.680   ,3,2018
112,10,   Austin Dillon,29.809   ,3,2018
113,12,   Justin Allgaier,30.003   ,3,2018
114,14,   Ross Chastain,29.987   ,3,2018
115,16,   Brandon Jones,30.022   ,3,2018
116,18,   Kaz Grala,30.107   ,3,2018
117,20,   Jeremy Clements,30.290   ,3,2018
118,22,   Dylan Lupton,30.319   ,3,2018
119,24,   Alex Labbe,30.440   ,3,2018
