,race_num,track,length,year,date
0,01,Daytona,2.5,2018,2018-02-17
1,02,Atlanta,1.54,2018,2018-02-24
2,03,Las Vegas,1.5,2018,2018-03-03
3,04,Phoenix,1.0,2018,2018-03-10
4,05,Fontana,2.0,2018,2018-03-17
5,06,Fort Worth,1.5,2018,2018-04-07
6,07,Bristol,0.533,2018,2018-04-14
7,08,Richmond,0.75,2018,2018-04-20
8,09,Talladega,2.66,2018,2018-04-28
9,10,Dover,1.0,2018,2018-05-05
10,11,Charlotte,1.5,2018,2018-05-26
11,12,Pocono,2.5,2018,2018-06-02
12,13,Michigan,2.0,2018,2018-06-09
13,14,Iowa,0.875,2018,2018-06-17
14,15,Chicago,1.5,2018,2018-06-30
15,16,Daytona,2.5,2018,2018-07-06
16,17,Kentucky,1.5,2018,2018-07-13
17,18,Loudon,1.058,2018,2018-07-21
18,19,Iowa,0.875,2018,2018-07-28
19,20,Watkins Glen,2.45,2018,2018-08-04
20,21,Mid-Ohio,2.258,2018,2018-08-11
21,22,Bristol,0.533,2018,2018-08-17
22,23,Elkhart Lake,4.048,2018,2018-08-25
23,24,Darlington,1.366,2018,2018-09-01
24,25,Indianapolis,2.5,2018,2018-09-10
25,26,Las Vegas,1.5,2018,2018-09-15
26,27,Richmond,0.75,2018,2018-09-21
27,28,Charlotte (Road),2.28,2018,2018-09-29
28,29,Dover,1.0,2018,2018-10-06
29,30,Kansas,1.5,2018,2018-10-20
30,31,Fort Worth,1.5,2018,2018-11-03
31,32,Phoenix,1.0,2018,2018-11-10
32,33,Homestead,1.5,2018,2018-11-17
33,01,Daytona,2.5,2019,2019-02-16
34,02,Atlanta,1.54,2019,2019-02-23
35,03,Las Vegas,1.5,2019,2019-03-02
36,04,Phoenix,1.0,2019,2019-03-09
37,05,Fontana,2.0,2019,2019-03-16
38,06,Fort Worth,1.5,2019,2019-03-30
39,07,Bristol,0.533,2019,2019-04-06
40,08,Richmond,0.75,2019,2019-04-12
41,09,Talladega,2.66,2019,2019-04-27
42,10,Dover,1.0,2019,2019-05-04
43,11,Charlotte,1.5,2019,2019-05-25
44,12,Pocono,2.5,2019,2019-06-01
45,13,Michigan,2.0,2019,2019-06-08
46,14,Iowa,0.875,2019,2019-06-16
47,15,Chicago,1.5,2019,2019-06-29
48,16,Daytona,2.5,2019,2019-07-05
49,17,Kentucky,1.5,2019,2019-07-12
50,18,Loudon,1.058,2019,2019-07-20
51,19,Iowa,0.875,2019,2019-07-27
52,20,Watkins Glen,2.45,2019,2019-08-03
53,21,Mid-Ohio,2.258,2019,2019-08-10
54,22,Bristol,0.533,2019,2019-08-16
55,23,Elkhart Lake,4.048,2019,2019-08-24
56,24,Darlington,1.366,2019,2019-08-31
57,25,Indianapolis,2.5,2019,2019-09-07
58,26,Las Vegas,1.5,2019,2019-09-14
59,27,Richmond,0.75,2019,2019-09-20
60,28,Charlotte (Road),2.28,2019,2019-09-28
61,29,Dover,1.0,2019,2019-10-05
62,30,Kansas,1.5,2019,2019-10-19
63,31,Fort Worth,1.5,2019,2019-11-02
64,32,Phoenix,1.0,2019,2019-11-09
65,33,Homestead,1.5,2019,2019-11-16
66,01,Daytona,2.5,2020,2020-02-15
67,02,Las Vegas,1.5,2020,2020-02-23
68,03,Fontana,2.0,2020,2020-02-29
69,04,Phoenix,1.0,2020,2020-03-07
70,05,Darlington,1.366,2020,2020-05-21
71,06,Charlotte,1.5,2020,2020-05-25
72,07,Bristol,0.533,2020,2020-06-01
73,08,Atlanta,1.54,2020,2020-06-06
74,09,Homestead,1.5,2020,2020-06-13
75,10,Homestead,1.5,2020,2020-06-14
76,11,Talladega,2.66,2020,2020-06-20
77,12,Pocono,2.5,2020,2020-06-28
78,13,Indianapolis G.P.,2.439,2020,2020-07-04
79,14,Kentucky,1.5,2020,2020-07-09
80,15,Kentucky,1.5,2020,2020-07-10
81,16,Fort Worth,1.5,2020,2020-07-18
82,17,Kansas,1.5,2020,2020-07-25
83,18,Elkhart Lake,4.048,2020,2020-08-08
84,19,Daytona (Road),3.61,2020,2020-08-15
85,20,Dover,1.0,2020,2020-08-22
86,21,Dover,1.0,2020,2020-08-23
87,22,Daytona,2.5,2020,2020-08-28
88,23,Darlington,1.366,2020,2020-09-05
89,24,Richmond,0.75,2020,2020-09-11
90,25,Richmond,0.75,2020,2020-09-12
91,26,Bristol,0.533,2020,2020-09-18
92,27,Las Vegas,1.5,2020,2020-09-26
93,28,Talladega,2.66,2020,2020-10-03
94,29,Charlotte (Road),2.28,2020,2020-10-10
95,30,Kansas,1.5,2020,2020-10-17
96,31,Fort Worth,1.5,2020,2020-10-24
97,32,Martinsville,0.526,2020,2020-10-31
98,33,Phoenix,1.0,2020,2020-11-07
99,01,Daytona,2.5,2021,2021-02-13
100,02,Daytona (Road),3.61,2021,2021-02-20
101,03,Homestead,1.5,2021,2021-02-27
102,04,Las Vegas,1.5,2021,2021-03-06
103,05,Phoenix,1.0,2021,2021-03-13
104,06,Atlanta,1.54,2021,2021-03-20
105,07,Martinsville,0.526,2021,2021-04-11
106,08,Talladega,2.66,2021,2021-04-24
107,09,Darlington,1.366,2021,2021-05-08
108,10,Dover,1.0,2021,2021-05-15
109,11,Austin,3.41,2021,2021-05-22
110,12,Charlotte,1.5,2021,2021-05-29
111,13,Mid-Ohio,2.258,2021,2021-06-05
112,14,Fort Worth,1.5,2021,2021-06-12
113,15,Nashville,1.333,2021,2021-06-19
114,16,Pocono,2.5,2021,2021-06-27
115,17,Elkhart Lake,4.048,2021,2021-07-03
116,18,Atlanta,1.54,2021,2021-07-10
117,19,Loudon,1.058,2021,2021-07-17
118,20,Watkins Glen,2.45,2021,2021-08-07
119,21,Indianapolis G.P.,2.439,2021,2021-08-14
120,22,Michigan,2.0,2021,2021-08-21
121,23,Daytona,2.5,2021,2021-08-28
122,24,Darlington,1.366,2021,2021-09-04
123,25,Richmond,0.75,2021,2021-09-11
124,26,Bristol,0.533,2021,2021-09-17
125,27,Las Vegas,1.5,2021,2021-09-25
126,28,Talladega,2.66,2021,2021-10-02
127,29,Charlotte (Road),2.28,2021,2021-10-09
128,30,Fort Worth,1.5,2021,2021-10-16
129,31,Kansas,1.5,2021,2021-10-23
130,32,Martinsville,0.526,2021,2021-10-30
131,33,Phoenix,1.0,2021,2021-11-06
132,01,Daytona,2.5,2022,2022-02-19
133,02,Fontana,2.0,2022,2022-02-26
134,03,Las Vegas,1.5,2022,2022-03-05
135,04,Phoenix,1.0,2022,2022-03-12
136,05,Atlanta,1.54,2022,2022-03-19
137,06,Austin,3.41,2022,2022-03-26
138,07,Richmond,0.75,2022,2022-04-02
